File Name,Image Credits,Photo Archive
ICCD12147698_CRBC392342_70000818.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1034957/ICCD12147698_CRBC392342_70000818.jpg,http://www.catalogo.beniculturali.it
ICCD3308259_C0075140.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007116/ICCD3308259_C0075140.jpg,http://www.catalogo.beniculturali.it
ICCD4644613_SBAS%20RM%20223305.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4644613_SBAS%20RM%20223305.jpg,http://www.catalogo.beniculturali.it
ICCD8128596_195292.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD8128596_195292.jpg,http://www.catalogo.beniculturali.it
ICCD8128610_195294.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD8128610_195294.jpg,http://www.catalogo.beniculturali.it
ICCD8192317_Z0027252.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007113/ICCD8192317_Z0027252.jpg,http://www.catalogo.beniculturali.it
ICCD8492445_RC1037.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007134/ICCD8492445_RC1037.jpg,http://www.catalogo.beniculturali.it
ICCD8441696_disegni_0636.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007110/ICCD8441696_disegni_0636.jpg,http://www.catalogo.beniculturali.it
ICCD8441982_disegni_1273.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007110/ICCD8441982_disegni_1273.jpg,http://www.catalogo.beniculturali.it
ICCD11159898_01537_VE%2033235_B.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1014727/ICCD11159898_01537_VE%2033235_B.jpg,http://www.catalogo.beniculturali.it
ICCD11306307_01534_VE%2045951_B.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1023624/ICCD11306307_01534_VE%2045951_B.jpg,http://www.catalogo.beniculturali.it
ICCD13127324_2087%20A.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1038729/ICCD13127324_2087%20A.jpg,http://www.catalogo.beniculturali.it
ICCD4563518_SBAS%20RM%2078149.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007114/ICCD4563518_SBAS%20RM%2078149.jpg,http://www.catalogo.beniculturali.it
ICCD5516837_00237476.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007109/ICCD5516837_00237476.jpg,http://www.catalogo.beniculturali.it
ICCD8376939_FAV01084.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007109/ICCD8376939_FAV01084.jpg,http://www.catalogo.beniculturali.it
ICCD2092113_341876D.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007135/ICCD2092113_341876D.jpg,http://www.catalogo.beniculturali.it
ICCD5506904_g16526.jpg,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007134/ICCD5506904_g16526.jpg,http://www.catalogo.beniculturali.it
3751ec31-8db5-6f2d-87bc-e49300831e4b.jpg,https://images.rkd.nl/rkd/thumb/650x650/3751ec31-8db5-6f2d-87bc-e49300831e4b.jpg,https://rkd.nl/en/
f8c75c97-aeac-2057-c1db-004b1f573db3.jpg,https://images.rkd.nl/rkd/thumb/650x650/f8c75c97-aeac-2057-c1db-004b1f573db3.jpg,https://rkd.nl/en/
2fddd8c0-baf8-3298-7e05-ff2433e5df41.jpg,https://images.rkd.nl/rkd/thumb/650x650/2fddd8c0-baf8-3298-7e05-ff2433e5df41.jpg,https://rkd.nl/en/
3356aba0-c3cd-d476-2b86-b6a5e3ec6ae9.jpg,https://images.rkd.nl/rkd/thumb/650x650/3356aba0-c3cd-d476-2b86-b6a5e3ec6ae9.jpg,https://rkd.nl/en/
f931af55-89d8-c53c-8b2a-0a925042d55c.jpg,https://images.rkd.nl/rkd/thumb/650x650/f931af55-89d8-c53c-8b2a-0a925042d55c.jpg,https://rkd.nl/en/
a9c3e668-ffa0-6bd9-7b60-b4468c0135ac.jpg,https://images.rkd.nl/rkd/thumb/650x650/a9c3e668-ffa0-6bd9-7b60-b4468c0135ac.jpg,https://rkd.nl/en/
a7634308-6578-793f-fc82-65180394debd.jpg,https://images.rkd.nl/rkd/thumb/650x650/a7634308-6578-793f-fc82-65180394debd.jpg,https://rkd.nl/en/
d136b6b6-2de4-4358-9d3e-a169c50b92b0.jpg,https://images.rkd.nl/rkd/thumb/650x650/d136b6b6-2de4-4358-9d3e-a169c50b92b0.jpg,https://rkd.nl/en/
ec7f556f-8f87-1b0c-8915-668c2f776aad.jpg,https://images.rkd.nl/rkd/thumb/650x650/ec7f556f-8f87-1b0c-8915-668c2f776aad.jpg,https://rkd.nl/en/
66ccc5ab-547e-5ab9-94fa-ebe00c727a84.jpg,https://images.rkd.nl/rkd/thumb/650x650/66ccc5ab-547e-5ab9-94fa-ebe00c727a84.jpg,https://rkd.nl/en/
b610fd20-00cb-3c38-fbcf-fb24e2e6a84c.jpg,https://images.rkd.nl/rkd/thumb/650x650/b610fd20-00cb-3c38-fbcf-fb24e2e6a84c.jpg,https://rkd.nl/en/
bc9bd0fe-ea2f-bd7e-e404-dabe471af21d.jpg,https://images.rkd.nl/rkd/thumb/650x650/bc9bd0fe-ea2f-bd7e-e404-dabe471af21d.jpg,https://rkd.nl/en/
a13103b5-c123-bcbe-163a-3c0ff800db71.jpg,https://images.rkd.nl/rkd/thumb/650x650/a13103b5-c123-bcbe-163a-3c0ff800db71.jpg,https://rkd.nl/en/
b29e90de-7c87-2a14-3e3f-7d41f2a455f1.jpg,https://images.rkd.nl/rkd/thumb/650x650/b29e90de-7c87-2a14-3e3f-7d41f2a455f1.jpg,https://rkd.nl/en/
